PaperID,ClaimTopic,ExactQuote,PlannedSection,Status
"3GPP_Release-17_Physical_Layer_Enhancements_for_LTE-M_and_NB-IoT.txt","","","","todo"
"A_comprehensive_survey_of_electromagnetic_propagation_models.txt","","","","todo"
"A_Framework_for_the_Design_and_Deployment_of_Large-Scale_LPWAN_Networks_for_Smart_Cities_Applications.txt","","","","todo"
"An_Enhanced_Cooperative_Communication_Scheme_for_Physical_Uplink_Shared_Channel_in_NB-IoT.txt","","","","todo"
"A_Tutorial_on_SDR-Based_NBIoT_PHYSynchronizationDemodulationand_Validation.txt","","","","todo"
"Comparison_of_Longley_Rice_ITU_R_P_1546.txt","","","","todo"
"Coverage_and_Deployment_Analysis_of_Narr.txt","","","","todo"
"Design_and_performance_analysis_of_joint_control_and_shared_channel_scheduler_for_downlink_in_3GPP_narrowband-IoT.txt","","","","todo"
"Evaluation_Modeling_and_Optimization_of_Coverage_Enhancement_Methods_of_NB-IoT.txt","","","","todo"
"EVALUATION_OF_PREDICTION_ACCURACY_FOR_THE.txt","","","","todo"
"mlinar2023comparison.txt","","","","todo"
"NB-IoT_deployment_study_for_low_power_wide_area_cellular_IoT.txt","","","","todo"
"Optimizing_LoRaWAN_Gateway_Placement_in_Urban_Environments:_A_Hybrid_PSO-DE_Algorithm_Validated_via_HTZ_Simulations.txt","","","","todo"
"Overview_of_3GPP_Release_14_Enhanced_NB-IoT.txt","","","","todo"
"PennacchioniSystemDeployment.txt","","","","todo"
"Performance_Analysis_of_3GPP_NB_IoT_Down.txt","","","","todo"
"Performance_of_Narrow-Band_Internet_of_Things_NB-IoT_Based_on_Repetition_of_Downlink_Physical_Channel.txt","","","","todo"
"System-Level_Simulation_Framework_for_NB-IoT_Key_Features_and_Performance_Evaluation.txt","","","","todo"
"The_3GPP_NB-IoT_system_architecture_for_the_Internet_of_Things.txt","","","","todo"
"Uplink_Scheduling_and_Link_Adaptation_for_Narrowband_Internet_of_Things_Systems.txt","","","","todo"
"Verification_of_Communication_Parameters_for_NTN_Communication.txt","","","","todo"
